부품명,부품사양,매각가능수량_정상,매각가능수량_불량
CPU,인텔 코어I5 소켓1155 2.8 GHz,6,0
CPU,인텔 코어I5 소켓1155 2.66 GHz,3,0
CPU,인텔 펜티엄 소켓1155 2.8 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,7,0
CPU,인텔 코어I5 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 코어I5 소켓1155 2.8 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 2.66 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,16,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,11,0
CPU,인텔 펜티엄 소켓 775 2.66 GHz,13,0
CPU,인텔 펜티엄 소켓 775 2.5 GHz,24,0
CPU,인텔 펜티엄 소켓 775 1.6 GHz,2,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,8,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,4,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,53,0
CPU,인텔 코어2듀오 소켓 775 2.5 GHz,4,0
CPU,인텔 코어2듀오 소켓 775 1.8 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.4 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,23,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,3,0
CPU,인텔 펜티엄 소켓1155 2.8 GHz,7,0
CPU,인텔 펜티엄 소켓1155 2.6 GHz,7,0
CPU,인텔 코어2듀오 소켓 775 1.8 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.5 GHz,6,0
CPU,인텔 코어2듀오 소켓 775 2.66 GHz,29,0
CPU,인텔 코어2듀오 소켓 775 2.93 GHz,24,0
CPU,인텔 펜티엄 소켓 775 2.5 GHz,6,0
CPU,인텔 펜티엄 소켓 775 2.66 GHz,10,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,3,0
CPU,인텔 펜티엄 소켓1155 2.6 GHz,17,0
CPU,인텔 펜티엄 소켓1155 2.8 GHz,2,0
CPU,인텔 셀러론 소켓 775 3.0 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,40,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,55,0
CPU,인텔 셀러론 소켓 775 1.6 GHz,11,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 2.8 GHz,2,0
CPU,인텔 펜티엄 소켓1155 2.6 GHz,4,0
CPU,인텔 펜티엄 소켓 775 3.0 GHz,28,0
CPU,인텔 펜티엄 소켓 775 2.66 GHz,15,0
CPU,인텔 펜티엄 소켓 775 2.5 GHz,19,0
CPU,인텔 펜티엄 소켓 775 1.6 GHz,6,0
CPU,AMD 셈프론 AM3 2.7 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 펜티엄 소켓1155 2.6 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,6,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.7 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.7 GHz,4,0
CPU,인텔 코어I3 소켓1155 3.5 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,4,0
CPU,인텔 코어I5 소켓1155 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,5,0
CPU,인텔 코어I3 소켓1155 3.6 GHz,9,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,5,0
CPU,인텔 코어I5 소켓1155 3.4 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,2,0
CPU,인텔 펜티엄 소켓1155 3.0 GHz,1,0
CPU,인텔 셀러론 소켓1155 2.4 GHz,2,0
CPU,인텔 코어I3 소켓1155 2.9 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
